time,branch,q05,q50,q95
2025-06-27 16:00:00,Constant covariance,-0.3543111054637576,-0.19294419047112005,-0.040776947460358
2025-06-27 17:00:00,Constant covariance,-0.3548606337976524,-0.19317607127442296,-0.04099896432672295
2025-06-27 18:00:00,Constant covariance,-0.3553380578293587,-0.19251333379078087,-0.041449323823129144
2025-06-27 19:00:00,Constant covariance,-0.3558351385406956,-0.1927739147031476,-0.0419201188657527
2025-06-27 20:00:00,Constant covariance,-0.3566886688233011,-0.1935474707344901,-0.042511161298675645
2025-06-27 21:00:00,Constant covariance,-0.3573680519477615,-0.1941573416281794,-0.04296958015072991
2025-06-27 22:00:00,Constant covariance,-0.3578630682113207,-0.19432751913481608,-0.04395582968832219
2025-06-27 23:00:00,Constant covariance,-0.35801985707018674,-0.19502508176591915,-0.04458506577389472
2025-06-28 00:00:00,Constant covariance,-0.3577334987537239,-0.19391726325885544,-0.044718714701958484
2025-06-28 01:00:00,Constant covariance,-0.35733471136926054,-0.1933457061512313,-0.044214609090720065
2025-06-28 02:00:00,Constant covariance,-0.3569840147263562,-0.19364631872964436,-0.04392011862763196
2025-06-28 03:00:00,Constant covariance,-0.3564672424907162,-0.19366866178408126,-0.04480379078384061
2025-06-28 04:00:00,Constant covariance,-0.35587856016639635,-0.1933612916489251,-0.047175105505932846
2025-06-28 05:00:00,Constant covariance,-0.35579763804682246,-0.19252233540553879,-0.04702478619061178
2025-06-28 06:00:00,Constant covariance,-0.35609257921751064,-0.19205212250930337,-0.046726453282168436
2025-06-28 07:00:00,Constant covariance,-0.3566049650426623,-0.19222645137250588,-0.04665555034475703
2025-06-28 08:00:00,Constant covariance,-0.3572369800695306,-0.19229454040870503,-0.04672869032379004
2025-06-28 09:00:00,Constant covariance,-0.3581542681888269,-0.19240211124081852,-0.046724444031530206
2025-06-28 10:00:00,Constant covariance,-0.35882040033121143,-0.1917974078329845,-0.04661214396710819
2025-06-28 11:00:00,Constant covariance,-0.35891615807385224,-0.19179719800742223,-0.04650912013546437
2025-06-28 12:00:00,Constant covariance,-0.35854737933213526,-0.19140285298845108,-0.04637092407711544
2025-06-28 13:00:00,Constant covariance,-0.3579376267457541,-0.1901675050836706,-0.046218136501586723
2025-06-28 14:00:00,Constant covariance,-0.35715769077327697,-0.19086923248930604,-0.04605175533570667
2025-06-28 15:00:00,Constant covariance,-0.3559230055186601,-0.19074982797367962,-0.0457352128965231
2025-06-28 16:00:00,Constant covariance,-0.3545635804772105,-0.1909684102158023,-0.04474324800823086
2025-06-28 17:00:00,Constant covariance,-0.35430699687226336,-0.19078886293624764,-0.04419853179094253
2025-06-28 18:00:00,Constant covariance,-0.3549274302198714,-0.19120463125546555,-0.044082728998643364
2025-06-28 19:00:00,Constant covariance,-0.35611191061583103,-0.1942261004502368,-0.04385904656402133
2025-06-28 20:00:00,Constant covariance,-0.35679218450871303,-0.1968378296050444,-0.04331785895677146
2025-06-28 21:00:00,Constant covariance,-0.3571183678047881,-0.19761692151800161,-0.04312301797401665
2025-06-28 22:00:00,Constant covariance,-0.35771004115515365,-0.19821994514049643,-0.04392204638992492
2025-06-28 23:00:00,Constant covariance,-0.35772412511101936,-0.19824530943714663,-0.04433119442816034
2025-06-29 00:00:00,Constant covariance,-0.35766409958697737,-0.19769515258112436,-0.04500587188676092
2025-06-29 01:00:00,Constant covariance,-0.35725213213358914,-0.19717714557939248,-0.04631644033801882
2025-06-29 02:00:00,Constant covariance,-0.3572144825849498,-0.198153284459203,-0.04695228953725848
2025-06-29 03:00:00,Constant covariance,-0.35716522208232604,-0.1979386814980405,-0.04693793466427583
2025-06-29 04:00:00,Constant covariance,-0.3573551457833076,-0.19764470135850354,-0.047807269527762354
2025-06-29 05:00:00,Constant covariance,-0.3574423248671131,-0.19704097151338235,-0.048845479263488416
2025-06-29 06:00:00,Constant covariance,-0.3580433308436768,-0.19677658427356093,-0.04947088587149756
2025-06-29 07:00:00,Constant covariance,-0.3584130797629404,-0.1967777602266832,-0.04996888817155814
2025-06-29 08:00:00,Constant covariance,-0.3585235737275727,-0.19691470106320053,-0.05018074958854993
2025-06-29 09:00:00,Constant covariance,-0.3584552491829572,-0.19702847859006206,-0.05004862323305342
2025-06-29 10:00:00,Constant covariance,-0.35790476442430824,-0.19656385067133247,-0.04913766593124874
2025-06-29 11:00:00,Constant covariance,-0.3580855735992742,-0.19617998468398623,-0.048732744949750675
2025-06-29 12:00:00,Constant covariance,-0.3580098866577266,-0.1963557830935281,-0.04837125578732129
2025-06-29 13:00:00,Constant covariance,-0.3558450476868194,-0.19649151195048198,-0.04816028536740926
2025-06-29 14:00:00,Constant covariance,-0.35493934885985173,-0.19698534366732953,-0.04773065481804
2025-06-29 15:00:00,Constant covariance,-0.3542491159602452,-0.19713068884106466,-0.04738162306632413
2025-06-29 16:00:00,Constant covariance,-0.3539713261145177,-0.19739090126553044,-0.04680956287477793
2025-06-29 17:00:00,Constant covariance,-0.35369747322900474,-0.19721177177827204,-0.046752303565303736
2025-06-29 18:00:00,Constant covariance,-0.3533528939275167,-0.19660973677711863,-0.04707918740807273
2025-06-29 19:00:00,Constant covariance,-0.3534572283612434,-0.19642233589988828,-0.047451812097180544
2025-06-29 20:00:00,Constant covariance,-0.3535848221228226,-0.1967541834615248,-0.049467354621745396
2025-06-29 21:00:00,Constant covariance,-0.3534348108337285,-0.19694059810410225,-0.05119768219660797
2025-06-29 22:00:00,Constant covariance,-0.35271639947838995,-0.19695606746279337,-0.05194751452436228
2025-06-29 23:00:00,Constant covariance,-0.3519670703269018,-0.19738837864322278,-0.05001769485065592
2025-06-30 00:00:00,Constant covariance,-0.3511969121140528,-0.19781806490443238,-0.0506419085509281
2025-06-30 01:00:00,Constant covariance,-0.3508643557141658,-0.1974719205095739,-0.050871894431173376
2025-06-30 02:00:00,Constant covariance,-0.35073751662202646,-0.1973881720847249,-0.05109172072766238
2025-06-30 03:00:00,Constant covariance,-0.35040265198604337,-0.19804600264784208,-0.051338537311568636
2025-06-30 04:00:00,Constant covariance,-0.35001357942241607,-0.1986052896746801,-0.051985314825408024
2025-06-30 05:00:00,Constant covariance,-0.3495444565988603,-0.1987062721824998,-0.05312909609658451
2025-06-30 06:00:00,Constant covariance,-0.3489695120364923,-0.1982509782510976,-0.053804360361234316
2025-06-30 07:00:00,Constant covariance,-0.3484881967111409,-0.19739942646670325,-0.05378346538332636
2025-06-30 08:00:00,Constant covariance,-0.3480460199166511,-0.1975676154734377,-0.053013716190994
2025-06-30 09:00:00,Constant covariance,-0.3475193203170313,-0.19699145958393688,-0.05260834862247117
2025-06-30 10:00:00,Constant covariance,-0.3468882302426404,-0.19706052604877625,-0.05229345331445034
2025-06-30 11:00:00,Constant covariance,-0.34631432817332614,-0.19733168668131743,-0.052150157283297166
2025-06-30 12:00:00,Constant covariance,-0.3454006651996669,-0.19801288850832321,-0.05211066995448752
2025-06-30 13:00:00,Constant covariance,-0.3441192688399231,-0.19801387289931865,-0.0523157554259494
2025-06-30 14:00:00,Constant covariance,-0.343501277295763,-0.1971235168519696,-0.05181740630494423
2025-06-30 15:00:00,Constant covariance,-0.3430630556331553,-0.19715525065806072,-0.051420299205693965
2025-06-30 16:00:00,Constant covariance,-0.34327879290893715,-0.1974338841200305,-0.051377921497259275
2025-06-30 17:00:00,Constant covariance,-0.34363757087590474,-0.19746246087546576,-0.0517085185864644
2025-06-30 18:00:00,Constant covariance,-0.34409761226994234,-0.19747988467392122,-0.0519840652508972
2025-06-30 19:00:00,Constant covariance,-0.34499001279165165,-0.19690730402625709,-0.052432151543014664
2025-06-30 20:00:00,Constant covariance,-0.3464110230800203,-0.19627055394939238,-0.05194876074369987
2025-06-30 21:00:00,Constant covariance,-0.3473189735582587,-0.19630982795530116,-0.05108597078717829
2025-06-30 22:00:00,Constant covariance,-0.3479720860149134,-0.19620675382127145,-0.05124657790977518
2025-06-30 23:00:00,Constant covariance,-0.34805109943449225,-0.19650213617828083,-0.05198046164505489
2025-07-01 00:00:00,Constant covariance,-0.3491636395644424,-0.1963076394953831,-0.052176897848308416
2025-07-01 01:00:00,Constant covariance,-0.35032756225235345,-0.1960257053060493,-0.05179057872612413
2025-07-01 02:00:00,Constant covariance,-0.3516452027803706,-0.1966189040778698,-0.05121954110560253
2025-07-01 03:00:00,Constant covariance,-0.3520983764688107,-0.19705062546064167,-0.048495346205297954
2025-07-01 04:00:00,Constant covariance,-0.3520416383598132,-0.1977150611565336,-0.04538331767403316
2025-07-01 05:00:00,Constant covariance,-0.3517791805718935,-0.1973718391319922,-0.04435135606033374
2025-07-01 06:00:00,Constant covariance,-0.35161221583536534,-0.19654428253417255,-0.04374224073041244
2025-07-01 07:00:00,Constant covariance,-0.3518507898126302,-0.195901339608899,-0.04252131392452608
2025-07-01 08:00:00,Constant covariance,-0.35142263222552833,-0.19519334164704227,-0.041598687472228
2025-07-01 09:00:00,Constant covariance,-0.35134276364301414,-0.19519363270724016,-0.04085253756438806
2025-07-01 10:00:00,Constant covariance,-0.35135811654999377,-0.196031951150741,-0.04084546800676036
2025-07-01 11:00:00,Constant covariance,-0.35113694443849536,-0.19663481357015228,-0.040670142095716545
2025-07-01 12:00:00,Constant covariance,-0.35222490645181403,-0.1965587037353297,-0.04033703304220827
2025-07-01 13:00:00,Constant covariance,-0.35467754659850254,-0.19680588644476665,-0.039698207959354005
2025-07-01 14:00:00,Constant covariance,-0.3544157122448951,-0.1972031512125462,-0.03966146827369209
2025-07-01 15:00:00,Constant covariance,-0.35440786315058,-0.19763261221110157,-0.04044433014149704
2025-07-01 16:00:00,Constant covariance,-0.3536524475455028,-0.19770795143385422,-0.041083301393209225
2025-07-01 17:00:00,Constant covariance,-0.35287670960448,-0.19707565810699695,-0.04137919717466081
2025-07-01 18:00:00,Constant covariance,-0.3529933182213294,-0.19633938288408703,-0.04125709415177892
2025-07-01 19:00:00,Constant covariance,-0.3523458290408913,-0.1959512053486096,-0.041312359375437216
2025-07-01 20:00:00,Constant covariance,-0.3513326369189174,-0.19597932529411138,-0.04184553589452231
2025-07-01 21:00:00,Constant covariance,-0.34942258713065594,-0.1957301074722691,-0.042236374928973384
2025-07-01 22:00:00,Constant covariance,-0.3490502647441226,-0.19567453889798753,-0.042678431622434045
2025-07-01 23:00:00,Constant covariance,-0.34885966164126575,-0.19560202376389618,-0.04276541706268866
2025-07-02 00:00:00,Constant covariance,-0.3485584914348921,-0.19489733549285615,-0.0424785904030802
2025-07-02 01:00:00,Constant covariance,-0.34817850068656825,-0.19396869608186448,-0.041770927091088005
2025-07-02 02:00:00,Constant covariance,-0.34791672528022116,-0.19478118515639664,-0.04095164462583228
2025-07-02 03:00:00,Constant covariance,-0.34816308528095985,-0.19551217012825553,-0.04046831216449049
2025-07-02 04:00:00,Constant covariance,-0.34831989080277204,-0.1953301608289787,-0.040017376693408824
2025-07-02 05:00:00,Constant covariance,-0.34851810744086426,-0.19472728851128046,-0.039412813213828064
2025-07-02 06:00:00,Constant covariance,-0.3486324568227841,-0.19439257826920578,-0.03868078954904315
2025-07-02 07:00:00,Constant covariance,-0.3499303278741946,-0.19534169969595458,-0.03803854539122424
2025-07-02 08:00:00,Constant covariance,-0.3495694150134495,-0.19576646396610442,-0.0382321583815334
2025-07-02 09:00:00,Constant covariance,-0.34841973212702954,-0.1945664854350871,-0.03881632019276952
2025-07-02 10:00:00,Constant covariance,-0.34838093541676446,-0.19386936977469219,-0.039687908347572645
