,empirical_rolling_corr
2025-07-21 21:00:00,-0.3292603968695302
2025-07-21 22:00:00,-0.32980469873975565
2025-07-21 23:00:00,-0.3297461902816267
2025-07-22 00:00:00,-0.3298264651234798
2025-07-22 01:00:00,-0.32983206916437635
2025-07-22 02:00:00,-0.32984075375126665
2025-07-22 03:00:00,-0.32983529835102665
2025-07-22 04:00:00,-0.32988603042517783
2025-07-22 05:00:00,-0.3299431155255461
2025-07-22 06:00:00,-0.33010294612858265
2025-07-22 07:00:00,-0.3300291788042523
2025-07-22 08:00:00,-0.32992611986787623
2025-07-22 09:00:00,-0.3295732661205686
2025-07-22 10:00:00,-0.32940419181002006
2025-07-22 11:00:00,-0.32934207579415
2025-07-22 12:00:00,-0.32964899039556095
2025-07-22 13:00:00,-0.3301856512095072
2025-07-22 14:00:00,-0.33115340309966085
2025-07-22 15:00:00,-0.33167417706069946
2025-07-22 16:00:00,-0.3318093241758129
2025-07-22 17:00:00,-0.33175167634340647
2025-07-22 18:00:00,-0.3317639536331313
2025-07-22 19:00:00,-0.33175809215575447
2025-07-22 20:00:00,-0.33177256060145005
2025-07-22 21:00:00,-0.33167222703857285
2025-07-22 22:00:00,-0.3313391500171718
2025-07-22 23:00:00,-0.3308845821819719
2025-07-23 00:00:00,-0.3304516802389971
2025-07-23 01:00:00,-0.330069206445687
2025-07-23 02:00:00,-0.3296221343213173
2025-07-23 03:00:00,-0.329279213802211
2025-07-23 04:00:00,-0.32891377408390465
2025-07-23 05:00:00,-0.32849975136127557
2025-07-23 06:00:00,-0.32781728110330516
2025-07-23 07:00:00,-0.32697103861442234
2025-07-23 08:00:00,-0.32607057712783377
2025-07-23 09:00:00,-0.3260367184681653
2025-07-23 10:00:00,-0.32634678159208674
2025-07-23 11:00:00,-0.32694318949747514
2025-07-23 12:00:00,-0.32767878178816334
2025-07-23 13:00:00,-0.3283158123054341
2025-07-23 14:00:00,-0.32908460190509153
2025-07-23 15:00:00,-0.3291557183069419
2025-07-23 16:00:00,-0.3289051713265548
2025-07-23 17:00:00,-0.32871942589927206
2025-07-23 18:00:00,-0.3285808669022394
2025-07-23 19:00:00,-0.3285818882806818
2025-07-23 20:00:00,-0.328635299558882
2025-07-23 21:00:00,-0.3287992536098808
2025-07-23 22:00:00,-0.32904218930800533
2025-07-23 23:00:00,-0.3292654268212957
2025-07-24 00:00:00,-0.3288487646093508
2025-07-24 01:00:00,-0.32842503989694455
2025-07-24 02:00:00,-0.3279365835645929
2025-07-24 03:00:00,-0.32734081753784416
2025-07-24 04:00:00,-0.3267025153497066
2025-07-24 05:00:00,-0.3261328766714713
2025-07-24 06:00:00,-0.32560184954622495
2025-07-24 07:00:00,-0.32511598295826044
2025-07-24 08:00:00,-0.324610912714788
2025-07-24 09:00:00,-0.3239310094879253
2025-07-24 10:00:00,-0.3230372573090098
2025-07-24 11:00:00,-0.32222443752925506
2025-07-24 12:00:00,-0.3212366595498984
2025-07-24 13:00:00,-0.32009439399331907
2025-07-24 14:00:00,-0.31911750449916154
2025-07-24 15:00:00,-0.31830886347900045
2025-07-24 16:00:00,-0.3175478671555409
2025-07-24 17:00:00,-0.3173392695075254
2025-07-24 18:00:00,-0.31734150326289023
2025-07-24 19:00:00,-0.31818036242080383
2025-07-24 20:00:00,-0.31932859663546986
