time,branch,q05,q25,q50,q75,q95,mean
2025-07-29 21:00:00,Stochastic covariance,-0.4185924438920752,-0.2978123281917061,-0.20239588617789417,-0.09826556385467189,0.04059678436284103,-0.19760768901509923
2025-07-29 22:00:00,Stochastic covariance,-0.41827855993143265,-0.2979555098435086,-0.20205165274861125,-0.0978892044727129,0.04009965394253299,-0.19755862242290223
2025-07-29 23:00:00,Stochastic covariance,-0.41826144471280347,-0.298074295100448,-0.20151424968148854,-0.09836302429646172,0.03960484491273893,-0.19748510756371726
2025-07-30 00:00:00,Stochastic covariance,-0.41826661288652434,-0.29833441032382896,-0.20203306663395354,-0.09914546265134389,0.03923017700398513,-0.1974215746054771
2025-07-30 01:00:00,Stochastic covariance,-0.4183250510276553,-0.2985505547478764,-0.20195504815586574,-0.09958708800375049,0.038796131092605324,-0.197407497822822
2025-07-30 02:00:00,Stochastic covariance,-0.41808121617242255,-0.29857420660149414,-0.20172067090663437,-0.09867950587171812,0.03812788389426641,-0.1974144238749591
2025-07-30 03:00:00,Stochastic covariance,-0.417658975428817,-0.2985396969741422,-0.2014830191493511,-0.09805563154009692,0.037317901601859035,-0.19743960099835733
2025-07-30 04:00:00,Stochastic covariance,-0.41713633746678885,-0.29834354327799256,-0.20264841323226696,-0.09808403149793364,0.03672870953117552,-0.19750000747899402
2025-07-30 05:00:00,Stochastic covariance,-0.4166976142419489,-0.2979795221413638,-0.20346714306701635,-0.09819382950280842,0.036248110775486744,-0.1975389047567413
2025-07-30 06:00:00,Stochastic covariance,-0.4160183887119023,-0.29724860617938653,-0.20281435514427118,-0.09713296791101908,0.035857655586061576,-0.19755720732368487
2025-07-30 07:00:00,Stochastic covariance,-0.41568153079105064,-0.29580800546528796,-0.2018611147083185,-0.09669164495865623,0.035242163504592285,-0.19757692758971757
2025-07-30 08:00:00,Stochastic covariance,-0.41515195766234786,-0.2946475556780298,-0.20003177926929464,-0.09712095839175157,0.035026938627025946,-0.1975891608396431
2025-07-30 09:00:00,Stochastic covariance,-0.4147892568999272,-0.2943933108108096,-0.19840688165729375,-0.09753480762615213,0.03480169195492848,-0.19769792605729086
2025-07-30 10:00:00,Stochastic covariance,-0.4146393678172093,-0.29468516380575,-0.19736544658144115,-0.09793699821418772,0.03472562579656443,-0.19789981792916037
2025-07-30 11:00:00,Stochastic covariance,-0.4148867597484635,-0.29531654713564776,-0.1971569813334088,-0.09871490965293407,0.0348978672612551,-0.1981258279544509
2025-07-30 12:00:00,Stochastic covariance,-0.4155484900082003,-0.2973559228219218,-0.19693531645068357,-0.09938248542943484,0.035592864154821935,-0.1983479610892724
2025-07-30 13:00:00,Stochastic covariance,-0.4168177003573802,-0.2995991173480101,-0.19668398921082889,-0.0999816254370628,0.036023242762782404,-0.19854775965344162
2025-07-30 14:00:00,Stochastic covariance,-0.41803666156278063,-0.2993067680637845,-0.19705342854130872,-0.09953383082275963,0.035944771166282606,-0.19875936437293543
