time,empirical_corr,window_label,window
2025-05-24 15:00:00,-0.650312987747556,7D,168
2025-05-24 16:00:00,-0.6498137641210263,7D,168
2025-05-24 17:00:00,-0.6506103543391418,7D,168
2025-05-24 18:00:00,-0.6493326197190911,7D,168
2025-05-24 19:00:00,-0.6476495067773765,7D,168
2025-05-24 20:00:00,-0.6478019526127956,7D,168
2025-05-24 21:00:00,-0.6496392158476936,7D,168
2025-05-24 22:00:00,-0.653640441223338,7D,168
2025-05-24 23:00:00,-0.6543829591509671,7D,168
2025-05-25 00:00:00,-0.657334576534273,7D,168
2025-05-25 01:00:00,-0.660302667921065,7D,168
2025-05-25 02:00:00,-0.6623044016801721,7D,168
2025-05-25 03:00:00,-0.6642195787894213,7D,168
2025-05-25 04:00:00,-0.6662390852115401,7D,168
2025-05-25 05:00:00,-0.6686522012370862,7D,168
2025-05-25 06:00:00,-0.6714930963754002,7D,168
2025-05-25 07:00:00,-0.6745520863497886,7D,168
2025-05-25 08:00:00,-0.6757320670150628,7D,168
2025-05-25 09:00:00,-0.6773575565486177,7D,168
2025-05-25 10:00:00,-0.6740126539321102,7D,168
2025-05-25 11:00:00,-0.6672935355291412,7D,168
2025-05-25 12:00:00,-0.6525578288301807,7D,168
2025-05-25 13:00:00,-0.6338970246621842,7D,168
2025-05-25 14:00:00,-0.6177970486576809,7D,168
2025-05-25 15:00:00,-0.6129899879750231,7D,168
2025-05-25 16:00:00,-0.6154940373133321,7D,168
2025-05-25 17:00:00,-0.6219495914734012,7D,168
2025-05-25 18:00:00,-0.616661275431324,7D,168
2025-05-25 19:00:00,-0.6164757897382688,7D,168
2025-05-25 20:00:00,-0.6149765635330684,7D,168
2025-05-25 21:00:00,-0.6114825678119397,7D,168
2025-05-25 22:00:00,-0.6091156688662709,7D,168
2025-05-25 23:00:00,-0.6073694099144943,7D,168
2025-05-26 00:00:00,-0.607133520412523,7D,168
2025-05-26 01:00:00,-0.6068110257422396,7D,168
2025-05-26 02:00:00,-0.606009739429466,7D,168
2025-05-26 03:00:00,-0.6050612130813822,7D,168
2025-05-26 04:00:00,-0.6035241972105754,7D,168
2025-05-26 05:00:00,-0.6018492550501577,7D,168
2025-05-26 06:00:00,-0.5982307955939329,7D,168
2025-05-26 07:00:00,-0.5896965177241268,7D,168
2025-05-26 08:00:00,-0.5859497193586588,7D,168
2025-05-26 09:00:00,-0.5824034715580437,7D,168
2025-05-26 10:00:00,-0.5822750406266834,7D,168
2025-05-26 11:00:00,-0.5838884797560492,7D,168
2025-05-26 12:00:00,-0.5869199140464312,7D,168
2025-05-26 13:00:00,-0.5899705379713892,7D,168
2025-05-26 14:00:00,-0.5933988505265387,7D,168
2025-05-26 15:00:00,-0.5959800776098373,7D,168
2025-05-26 16:00:00,-0.5945121755664948,7D,168
2025-05-26 17:00:00,-0.5912312916692569,7D,168
2025-05-26 18:00:00,-0.5868417589763659,7D,168
2025-05-26 19:00:00,-0.5829635659088012,7D,168
2025-05-26 20:00:00,-0.5827261947715336,7D,168
2025-05-26 21:00:00,-0.5893819759888498,7D,168
2025-05-26 22:00:00,-0.5908531216457066,7D,168
2025-05-26 23:00:00,-0.5900512415054098,7D,168
2025-05-27 00:00:00,-0.5856356530772034,7D,168
2025-05-27 01:00:00,-0.5809609370105794,7D,168
2025-05-27 02:00:00,-0.5751041040881801,7D,168
2025-05-27 03:00:00,-0.5670198086932531,7D,168
2025-05-27 04:00:00,-0.5573623458030036,7D,168
2025-05-27 05:00:00,-0.5468610394378871,7D,168
2025-05-27 06:00:00,-0.5327066104834339,7D,168
2025-05-27 07:00:00,-0.5268279185428626,7D,168
2025-05-27 08:00:00,-0.5366522904784312,7D,168
2025-05-27 09:00:00,-0.5617131358061911,7D,168
2025-05-27 10:00:00,-0.5730429355588088,7D,168
2025-05-27 11:00:00,-0.5993630074240437,7D,168
2025-05-27 12:00:00,-0.6194117174349902,7D,168
2025-05-27 13:00:00,-0.6301086605572747,7D,168
2025-05-27 14:00:00,-0.6409855700506695,7D,168
2025-05-27 15:00:00,-0.6548213290091852,7D,168
2025-05-27 16:00:00,-0.6323915267210347,7D,168
2025-05-27 17:00:00,-0.609539902722011,7D,168
2025-05-27 18:00:00,-0.5989268459479645,7D,168
2025-05-27 19:00:00,-0.5919438182628616,7D,168
2025-05-27 20:00:00,-0.5958370699884218,7D,168
2025-05-27 21:00:00,-0.5912903347138158,7D,168
2025-05-27 22:00:00,-0.5868898050557977,7D,168
2025-05-27 23:00:00,-0.5796942011600392,7D,168
2025-05-28 00:00:00,-0.5695411141334048,7D,168
2025-05-28 01:00:00,-0.5579079105835176,7D,168
2025-05-28 02:00:00,-0.5439149020815766,7D,168
2025-05-28 03:00:00,-0.5321055609574746,7D,168
2025-05-28 04:00:00,-0.5201473740414377,7D,168
2025-05-28 05:00:00,-0.5097765418794179,7D,168
2025-05-28 06:00:00,-0.5017791040880815,7D,168
2025-05-28 07:00:00,-0.49257785651751823,7D,168
2025-05-28 08:00:00,-0.47490695504612185,7D,168
2025-05-28 09:00:00,-0.4429912955271154,7D,168
2025-05-28 10:00:00,-0.4030475639873369,7D,168
2025-05-28 11:00:00,-0.37480331609114714,7D,168
2025-05-28 12:00:00,-0.33687186024662935,7D,168
2025-05-28 13:00:00,-0.3055983551082269,7D,168
2025-05-28 14:00:00,-0.2805876394578759,7D,168
2025-05-28 15:00:00,-0.26369711220341524,7D,168
2025-05-28 16:00:00,-0.24234123244647648,7D,168
2025-05-28 17:00:00,-0.2292154130145462,7D,168
2025-05-28 18:00:00,-0.22555685085183327,7D,168
2025-05-28 19:00:00,-0.2232878252490655,7D,168
2025-05-28 20:00:00,-0.22262752579188286,7D,168
2025-05-28 21:00:00,-0.22274086588672454,7D,168
2025-05-28 22:00:00,-0.22430934319120183,7D,168
2025-05-28 23:00:00,-0.22651750802932125,7D,168
2025-05-29 00:00:00,-0.22893487217228528,7D,168
2025-05-29 01:00:00,-0.23197161577979938,7D,168
2025-05-29 02:00:00,-0.23599318909529898,7D,168
2025-05-29 03:00:00,-0.24029240862642406,7D,168
2025-05-29 04:00:00,-0.24400364816483003,7D,168
2025-05-29 05:00:00,-0.24645246059270853,7D,168
2025-05-29 06:00:00,-0.2438696246414503,7D,168
2025-05-29 07:00:00,-0.2356562129666065,7D,168
2025-05-29 08:00:00,-0.23264256320132226,7D,168
2025-05-29 09:00:00,-0.22645619816761417,7D,168
2025-05-29 10:00:00,-0.20702537794363898,7D,168
2025-05-29 11:00:00,-0.18858493932985948,7D,168
2025-05-29 12:00:00,-0.17499613972131559,7D,168
2025-05-29 13:00:00,-0.15905958358654035,7D,168
2025-05-29 14:00:00,-0.1416299213769575,7D,168
2025-05-29 15:00:00,-0.12069641738148117,7D,168
2025-05-29 16:00:00,-0.0901950132057643,7D,168
2025-05-29 17:00:00,-0.04494769901530277,7D,168
2025-05-29 18:00:00,-0.015152023315002363,7D,168
2025-05-29 19:00:00,0.0026044611946988232,7D,168
2025-05-29 20:00:00,0.019796077283821507,7D,168
2025-05-29 21:00:00,0.022050502983859046,7D,168
2025-05-29 22:00:00,0.02233941387549807,7D,168
2025-05-29 23:00:00,0.020692805584671882,7D,168
2025-05-30 00:00:00,0.022157022233029913,7D,168
2025-05-30 01:00:00,0.02188660302153977,7D,168
2025-05-30 02:00:00,0.02075623235815782,7D,168
2025-05-30 03:00:00,0.0198152167780767,7D,168
2025-05-30 04:00:00,0.01935758917854184,7D,168
2025-05-30 05:00:00,0.021637801846923516,7D,168
2025-05-30 06:00:00,0.025163677997096467,7D,168
2025-05-30 07:00:00,0.029071108851342356,7D,168
2025-05-30 08:00:00,0.029242394198098452,7D,168
2025-05-30 09:00:00,0.0228097580429033,7D,168
2025-05-30 10:00:00,0.014625948284211508,7D,168
2025-05-30 11:00:00,0.010050100321849414,7D,168
2025-05-30 12:00:00,0.00611485481486096,7D,168
2025-05-30 13:00:00,0.003189290300167344,7D,168
2025-05-30 14:00:00,-0.0022733041608061313,7D,168
2025-05-30 15:00:00,-0.007559664003248735,7D,168
2025-05-30 16:00:00,-0.01456529970398991,7D,168
2025-05-30 17:00:00,-0.021767237702456494,7D,168
2025-05-30 18:00:00,-0.023209221102192302,7D,168
2025-05-30 19:00:00,-0.02618802047459603,7D,168
2025-05-30 20:00:00,-0.03237260126065122,7D,168
2025-05-30 21:00:00,-0.034709478052411355,7D,168
2025-05-30 22:00:00,-0.038566515706284915,7D,168
2025-05-30 23:00:00,-0.04639088501683573,7D,168
2025-05-31 00:00:00,-0.05488710905867739,7D,168
2025-05-31 01:00:00,-0.06543822380504728,7D,168
2025-05-31 02:00:00,-0.08031959634404523,7D,168
2025-05-31 03:00:00,-0.09920326620816376,7D,168
2025-05-31 04:00:00,-0.11918556524269253,7D,168
2025-05-31 05:00:00,-0.13649012376899747,7D,168
2025-05-31 06:00:00,-0.14992271338682428,7D,168
2025-05-31 07:00:00,-0.1576021799318411,7D,168
2025-05-31 08:00:00,-0.1523873328426853,7D,168
2025-05-31 09:00:00,-0.13350645910359665,7D,168
2025-05-31 10:00:00,-0.12483726604724764,7D,168
2025-05-31 11:00:00,-0.12165719471976535,7D,168
2025-05-31 12:00:00,-0.12063897329677702,7D,168
2025-05-31 13:00:00,-0.1211258589041159,7D,168
2025-05-31 14:00:00,-0.12347806983882466,7D,168
2025-05-31 15:00:00,-0.12152324687894876,7D,168
2025-05-31 16:00:00,-0.10506114644338929,7D,168
2025-05-31 17:00:00,-0.10040508139199562,7D,168
2025-05-31 18:00:00,-0.10312281091491513,7D,168
2025-05-31 19:00:00,-0.12945992402184048,7D,168
2025-05-31 20:00:00,-0.19734965278900155,7D,168
2025-05-31 21:00:00,-0.24053319987915706,7D,168
2025-05-31 22:00:00,-0.25719288278851515,7D,168
2025-05-31 23:00:00,-0.2648096762770021,7D,168
2025-06-01 00:00:00,-0.2644281665262643,7D,168
2025-06-01 01:00:00,-0.2643299752849972,7D,168
2025-06-01 02:00:00,-0.2636091395348422,7D,168
2025-06-01 03:00:00,-0.26249657453842135,7D,168
2025-06-01 04:00:00,-0.26070165931082545,7D,168
2025-06-01 05:00:00,-0.2572170265277325,7D,168
2025-06-01 06:00:00,-0.24695227536776004,7D,168
2025-06-01 07:00:00,-0.23452897507922785,7D,168
2025-06-01 08:00:00,-0.224220439101852,7D,168
2025-06-01 09:00:00,-0.21657502645312943,7D,168
2025-06-01 10:00:00,-0.2151671062191533,7D,168
2025-06-01 11:00:00,-0.21684097535131616,7D,168
2025-06-01 12:00:00,-0.22491978656699727,7D,168
2025-06-01 13:00:00,-0.2357433688044871,7D,168
2025-06-01 14:00:00,-0.24453005087788715,7D,168
2025-06-01 15:00:00,-0.2468952779862961,7D,168
2025-06-01 16:00:00,-0.24502994793945163,7D,168
2025-06-01 17:00:00,-0.2400681888258772,7D,168
2025-06-01 18:00:00,-0.23175542889603212,7D,168
2025-06-01 19:00:00,-0.22803672297611097,7D,168
2025-06-01 20:00:00,-0.22291241761153327,7D,168
2025-06-01 21:00:00,-0.2217144989261214,7D,168
2025-06-01 22:00:00,-0.2195076290653651,7D,168
2025-06-01 23:00:00,-0.21630363818265108,7D,168
2025-06-02 00:00:00,-0.2142627383133409,7D,168
2025-06-02 01:00:00,-0.21266705731241553,7D,168
2025-06-02 02:00:00,-0.21229962384897436,7D,168
2025-06-02 03:00:00,-0.21269853983859835,7D,168
2025-06-02 04:00:00,-0.21427493981747406,7D,168
2025-06-02 05:00:00,-0.2158214559422422,7D,168
2025-06-02 06:00:00,-0.21697596470381836,7D,168
2025-06-02 07:00:00,-0.2195051122097781,7D,168
2025-06-02 08:00:00,-0.2176976408028719,7D,168
2025-06-02 09:00:00,-0.2190214760039892,7D,168
2025-06-02 10:00:00,-0.2185286851361011,7D,168
2025-06-02 11:00:00,-0.21680214303730405,7D,168
2025-06-02 12:00:00,-0.21556619508069205,7D,168
2025-06-02 13:00:00,-0.21451256853641737,7D,168
2025-06-02 14:00:00,-0.21372446488651653,7D,168
2025-06-02 15:00:00,-0.21253524401209625,7D,168
2025-06-02 16:00:00,-0.20900708633055415,7D,168
2025-06-02 17:00:00,-0.20603661155470063,7D,168
2025-06-02 18:00:00,-0.20793851936430105,7D,168
2025-06-02 19:00:00,-0.20626273053028926,7D,168
2025-06-02 20:00:00,-0.21798480193483377,7D,168
2025-06-02 21:00:00,-0.2251055302115539,7D,168
2025-06-02 22:00:00,-0.2240413133295211,7D,168
2025-06-02 23:00:00,-0.2243197133330712,7D,168
2025-06-03 00:00:00,-0.23012785693365007,7D,168
2025-06-03 01:00:00,-0.2390522197621135,7D,168
2025-06-03 02:00:00,-0.24646841981808948,7D,168
2025-06-03 03:00:00,-0.25364692613330375,7D,168
2025-06-03 04:00:00,-0.25897558004557064,7D,168
2025-06-03 05:00:00,-0.26467183270828837,7D,168
2025-06-03 06:00:00,-0.26777768975396815,7D,168
2025-06-03 07:00:00,-0.2630461018258942,7D,168
2025-06-03 08:00:00,-0.25356646646966735,7D,168
