time,branch,window,q05,q50,q95,mean
2025-06-30 01:00:00,Stochastic covariance,336,-0.6996812869160639,-0.3313330595782532,0.15898629251952728,-0.2900276101855661
2025-06-30 02:00:00,Stochastic covariance,336,-0.6986367984360042,-0.330515887106581,0.15124485673592702,-0.2897217906532378
2025-06-30 03:00:00,Stochastic covariance,336,-0.6971974430282762,-0.3282320170622315,0.14922742692854488,-0.28942628731792186
2025-06-30 04:00:00,Stochastic covariance,336,-0.6944902537273009,-0.32471998349694775,0.15092279660239044,-0.28915895607587017
2025-06-30 05:00:00,Stochastic covariance,336,-0.691540146339954,-0.3259562350684892,0.1515059494810408,-0.28889458066890994
2025-06-30 06:00:00,Stochastic covariance,336,-0.6897801287396302,-0.3264469833818078,0.14867980672824466,-0.28870426104404523
2025-06-30 07:00:00,Stochastic covariance,336,-0.6901332702332552,-0.32812380400823504,0.1455403505409577,-0.28836037516868873
2025-06-30 08:00:00,Stochastic covariance,336,-0.6912067935853505,-0.32638340172998276,0.1411640838897661,-0.28819580989828014
2025-06-30 09:00:00,Stochastic covariance,336,-0.6920125254680849,-0.32487773571704,0.14324850083512802,-0.28809107979168913
2025-06-30 10:00:00,Stochastic covariance,336,-0.6931313600439594,-0.3257272471247679,0.14303305188456827,-0.28804788099659223
2025-06-30 11:00:00,Stochastic covariance,336,-0.6930794179148267,-0.32475724156637376,0.14277555095519595,-0.28813658700578454
2025-06-30 12:00:00,Stochastic covariance,336,-0.6935262121809667,-0.3250511312861276,0.14264086277340896,-0.2880829268708117
2025-06-30 13:00:00,Stochastic covariance,336,-0.694010354912657,-0.32054360850550556,0.1461234434408413,-0.28786852075471564
2025-06-30 14:00:00,Stochastic covariance,336,-0.6954869271141025,-0.32038635933871473,0.14776035804317914,-0.2872679045229998
2025-06-30 15:00:00,Stochastic covariance,336,-0.6944723443381634,-0.3195384777974384,0.1473643607366274,-0.2868870510028555
2025-06-30 16:00:00,Stochastic covariance,336,-0.6948742075274701,-0.3137441961450357,0.14595076597230514,-0.28655677831669396
2025-06-30 17:00:00,Stochastic covariance,336,-0.6938410489216692,-0.30791097780485555,0.14357684838711016,-0.28640314736353856
2025-06-30 18:00:00,Stochastic covariance,336,-0.6945950964305918,-0.3062779248906539,0.14448172923961883,-0.28645794987332496
2025-06-30 19:00:00,Stochastic covariance,336,-0.694700764698845,-0.3067354224127443,0.1434234759107054,-0.28649938831057314
2025-06-30 20:00:00,Stochastic covariance,336,-0.6957998838966742,-0.3080441480394318,0.14147174289246026,-0.286343966332658
2025-06-30 21:00:00,Stochastic covariance,336,-0.6965330910740953,-0.3103780238666528,0.14075911863611576,-0.2862242205610931
2025-06-30 22:00:00,Stochastic covariance,336,-0.6970854797739601,-0.3120865774040939,0.14056418143299407,-0.2860903352300783
