method,side,wind_state,intensity_year_inv,ci_low,ci_high,bandwidth,local_exposure_years,local_observations,weighted_event_count_proxy,monotone_increasing_projection
corrected low-price negative spikes,negative,0.24845907222222247,1.392244185153884,0.10851955520821055,2.6759688150995578,0.25,7.840788816105684,36405,2.7290731590606865,1.6297465640426327
corrected low-price negative spikes,negative,0.25295830000000025,1.3724391723338842,0.08791576304435522,2.6569625816234135,0.25,7.694392244130255,36084,2.6400213307865963,1.6297465640426327
corrected low-price negative spikes,negative,0.25745752777777803,1.3631005340054694,0.07805399613479369,2.648147071876145,0.25,7.547497687815582,35667,2.5719995321666165,1.6297465640426327
corrected low-price negative spikes,negative,0.2619567555555558,1.352035587605591,0.06706186594815655,2.6370093092630253,0.25,7.400836458469959,35158,2.5015485674750777,1.6297465640426327
corrected low-price negative spikes,negative,0.2664559833333336,1.3477208187352312,0.06343269322639222,2.6320089442440704,0.25,7.2552702362687755,34626,2.444519685742377,1.6297465640426327
corrected low-price negative spikes,negative,0.27095521111111137,1.3475726036095843,0.06410692076182878,2.63103828645734,0.25,7.111085623362896,34073,2.395676041991455,1.6297465640426327
corrected low-price negative spikes,negative,0.27545443888888915,1.3454118567005138,0.062836068975761,2.6279876444252666,0.25,6.968624179373239,33459,2.343917398954661,1.6297465640426327
corrected low-price negative spikes,negative,0.27995366666666693,1.3412060934588215,0.05958738984135148,2.6228247970762917,0.25,6.828378732723457,32829,2.2895657911933314,1.6297465640426327
corrected low-price negative spikes,negative,0.2844528944444447,1.3507097898853127,0.07043809124976774,2.630981488520858,0.25,6.690471172362864,32232,2.2592212278639963,1.6297465640426327
corrected low-price negative spikes,negative,0.2889521222222225,1.3586470104647508,0.08046926860536208,2.6368247523241397,0.25,6.5548961027088355,31630,2.2264474984631013,1.6297465640426327
corrected low-price negative spikes,negative,0.2934513500000003,1.3649510531790519,0.08958142911026257,2.640320677247841,0.25,6.4214598696037015,31058,2.1912446029906474,1.6297465640426327
corrected low-price negative spikes,negative,0.29795057777777806,1.3694147447999523,0.09765170723386984,2.641177782366035,0.25,6.2906071360031675,30423,2.153612541446634,1.6297465640426327
