method,side,wind_state,intensity_year_inv,bandwidth
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.8999999999999999,1.6590424729682085,0.25
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.9049999999999999,1.3765177554158239,0.25
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.9099999999999999,1.0516487869123698,0.25
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.9149999999999999,0.677682916792229,0.25
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.9199999999999999,0.2480271816757909,0.25
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.9249999999999999,0.0,0.25
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.9299999999999999,0.0,0.25
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.9349999999999999,0.0,0.25
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.94,0.0,0.25
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.945,0.0,0.25
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.95,0.0,0.25
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.0027,0.37273945089477495,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.007239791666666666,0.3711637229773404,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.011779583333333333,0.3695233808609472,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.016319374999999997,0.36782623829126115,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.020859166666666665,0.3660857261210461,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.025398958333333332,0.36429961117570686,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.029938749999999997,0.3624629299388106,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.03447854166666666,0.3605993660047473,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.03901833333333333,0.3586974693182363,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.043558124999999996,0.35676892268896354,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.048097916666666664,0.354816893292004,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.052637708333333325,0.3528516999730446,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.05717749999999999,0.3508750474707682,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.06171729166666666,0.3488847525499954,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.06625708333333331,0.346881142914034,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.07079687499999998,0.3448668196251624,0.24514874999999997
