method,side,wind_state,intensity_year_inv,bandwidth,estimator_type
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.6699999999999999,2.1572403357930914,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.6749999999999999,2.2078012844136614,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.6799999999999999,2.25808070088137,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.6849999999999999,2.3086017952256794,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.69,2.3591031989787448,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.695,2.408981219991521,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.7,2.458270872558187,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.705,2.506936189112918,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.71,2.555192105424785,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.715,2.602492239285739,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.72,2.64876472080421,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.725,2.69447139844815,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.73,2.739500063935475,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.735,2.783884699324809,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.74,2.826913343729587,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.7449999999999999,2.8684441882094185,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.7499999999999999,2.90861470180118,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.7549999999999999,2.9469739671100443,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.7599999999999999,2.9834684201245567,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.7649999999999999,3.017770168389391,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.7699999999999999,3.049235634393064,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.7749999999999999,3.0785256679476873,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.7799999999999999,3.105765414452197,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.7849999999999999,3.1303612288893583,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.7899999999999999,3.1519196412892114,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.7949999999999999,3.169899841356613,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.7999999999999999,3.1843894401928994,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.8049999999999999,3.195226265561188,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.8099999999999999,3.202909065802894,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.815,3.2059637174199405,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.82,3.20389589804929,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.825,3.1960990606073723,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.83,3.1811589341514357,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.835,3.158285148668343,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.84,3.1272036812066233,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.845,3.087747723159873,0.25,paper_kernel
